Band Start (MHz),Band Stop (MHz),Band Name
25,50,Outsourced Leasing
53,54,HAM
72,72.4,Business Comms
88,108,FM Broadcast
144,148,HAM
162.4,162.55,NOAA Weather
170,170.4,Business Comms
217,219,Business Comms
220,222,Outsourced Leasing
224,225,HAM
420,450,HAM
450,451.5,Outsourced Leasing
451.5,453.1,Business Comms
453.1,454,Government Systems
454,456,Outsourced Leasing
456,458,Business Comms
614,698,LTE/5G networks like Verizon's upper 700 MHz operations
698,704,LTE/5G networks like Verizon's upper 700 MHz operations
710,716,LTE/5G networks like Verizon's upper 700 MHz operations
728,734,LTE/5G networks like Verizon's upper 700 MHz operations
740,746,LTE/5G networks like Verizon's upper 700 MHz operations
746,757,LTE/5G networks like Verizon's upper 700 MHz operations
757,758,RF buffer between commercial wireless operations and public safety spectrum blocks to prevent harmful interference.
775,776,RF buffer between commercial wireless operations and public safety spectrum blocks to prevent harmful interference.
776,787,LTE/5G networks like Verizon's upper 700 MHz operations
787,788,RF buffer between commercial wireless operations and public safety spectrum blocks to prevent harmful interference.
805,806,RF buffer between commercial wireless operations and public safety spectrum blocks to prevent harmful interference.
824,835,LTE/5G networks like Verizon's upper 700 MHz operations
835,845,LTE/5G networks like Verizon's upper 700 MHz operations
845,849,LTE/5G networks like Verizon's upper 700 MHz operations
869,880,LTE/5G networks like Verizon's upper 700 MHz operations
880,890,LTE/5G networks like Verizon's upper 700 MHz operations
890,894,LTE/5G networks like Verizon's upper 700 MHz operations
896,901,Outsourced Leasing
902,928,902-928 MHz Location Narrowband (non-multilateration)
929,930,"Private Carrier Paging, 929-930 MHz"
931,932,Paging and Radiotelephone
935,940,Outsourced Leasing
944,954,Outsourced Leasing
1282,1286,HAM
1390,1392,Business Comms
1392,1395,Business Comms
1432,1445,Business Comms
1695,1710,Mobile Phone Uplink - Downlink
1710,1755,Mobile Phone Uplink - Downlink
1755,1780,Mobile Phone Uplink - Downlink
2155,2180,Mobile Phone Uplink - Downlink
