window,capture_start,capture_stop,usable_start,usable_stop,timestamp,center_frequency,noise_floor,average_power,minimum_power,peak_power,peak_frequency,dynamic_range,bin_width,fft_size,sample_rate,gain
1,23760000.0,26160000.0,24000000.0,25920000.0,2026-07-09T22:54:32.867670+00:00,24960000.0,-0.11001918629757482,-1.0623166273934601,-39.35903790775743,19.038065504401743,24960000.0,19.148084690699317,146.484375,16384,2400000.0,0.0
2,25295816.416593116,27695816.416593116,25535816.416593116,27455816.416593116,2026-07-09T22:54:32.942662+00:00,26495816.416593116,19.274496662122214,18.41612067390798,-45.452573051926315,40.08301773874959,26843277.354093116,20.808521076627375,146.484375,16384,2400000.0,0.0
3,26831632.83318623,29231632.83318623,27071632.83318623,28991632.83318623,2026-07-09T22:54:33.004117+00:00,28031632.83318623,16.168637087719045,15.390168864124083,-29.050724822574708,53.23052948205052,28799943.38006123,37.06189239433148,146.484375,16384,2400000.0,0.0
4,28367449.249779347,30767449.249779347,28607449.249779347,30527449.249779347,2026-07-09T22:54:33.063441+00:00,29567449.249779347,15.260523014986068,14.580749459411173,-24.509428699006456,53.343820522331995,28800017.609154347,38.083297507345925,146.484375,16384,2400000.0,0.0
5,29903265.666372463,32303265.666372463,30143265.666372463,32063265.666372463,2026-07-09T22:54:33.121473+00:00,31103265.666372463,15.741221396368797,15.030506376260355,-35.03048664101784,34.78035486937361,30393695.353872463,19.039133473004814,146.484375,16384,2400000.0,0.0
6,31439082.08296558,33839082.08296558,31679082.08296558,33599082.08296558,2026-07-09T22:54:33.180343+00:00,32639082.08296558,17.11521626504055,16.381046935556938,-40.0186270346411,33.127374104681365,33557978.56734058,16.012157839640814,146.484375,16384,2400000.0,0.0
7,32974898.499558695,35374898.499558695,33214898.499558695,35134898.499558695,2026-07-09T22:54:33.239623+00:00,34174898.499558695,17.66689557619462,16.958933477465713,-30.187046886263985,32.534853675601255,33528902.405808695,14.867958099406636,146.484375,16384,2400000.0,0.0
8,34510714.91615181,36910714.91615181,34750714.91615181,36670714.91615181,2026-07-09T22:54:33.298155+00:00,35710714.91615181,18.434122025159652,17.568368476240686,-18.839609029581307,35.39046495647739,34902853.58802681,16.956342931317735,146.484375,16384,2400000.0,0.0
9,36046531.332744926,38446531.332744926,36286531.332744926,38206531.332744926,2026-07-09T22:54:33.357398+00:00,37246531.332744926,19.699070007117832,18.876532546501245,-22.002928905558008,39.04421830790584,38399949.301494926,19.345148300788004,146.484375,16384,2400000.0,0.0
10,37582347.74933804,39982347.74933804,37822347.74933804,39742347.74933804,2026-07-09T22:54:33.416957+00:00,38782347.74933804,20.64619534792253,19.75319800550052,-22.065843460619085,43.45456014093006,38400023.53058804,22.808364793007534,146.484375,16384,2400000.0,0.0
11,39118164.16593116,41518164.16593116,39358164.16593116,41278164.16593116,2026-07-09T22:54:33.476466+00:00,40318164.16593116,20.14853380527531,19.54921003385205,-16.254737582702678,38.29730932745099,40937939.55655616,18.14877552217568,146.484375,16384,2400000.0,0.0
12,40653980.58252427,43053980.58252427,40893980.58252427,42813980.58252427,2026-07-09T22:54:33.536447+00:00,41853980.58252427,20.20260013500002,19.514639845127974,-27.377254863292386,36.89444046133388,40948560.66064927,16.69184032633386,146.484375,16384,2400000.0,0.0
13,42189796.99911739,44589796.99911739,42429796.99911739,44349796.99911739,2026-07-09T22:54:33.594998+00:00,43389796.99911739,19.94927949299509,19.473647623943222,-29.825356097768875,39.20066781723363,43199953.24911739,19.25138832423854,146.484375,16384,2400000.0,0.0
14,43725613.4157105,46125613.4157105,43965613.4157105,45885613.4157105,2026-07-09T22:54:33.655521+00:00,44925613.4157105,19.548791474992413,18.857285082050705,-19.90855281567483,37.26589056425415,45599880.9938355,17.717099089261737,146.484375,16384,2400000.0,0.0
15,45261429.83230361,47661429.83230361,45501429.83230361,47421429.83230361,2026-07-09T22:54:33.713627+00:00,46461429.83230361,20.15968707286655,19.355013246722386,-26.74678865856695,34.94121663516738,46634281.39480361,14.781529562300829,146.484375,16384,2400000.0,0.0
16,46797246.24889673,49197246.24889673,47037246.24889673,48957246.24889673,2026-07-09T22:54:33.772409+00:00,47997246.24889673,19.61534806841351,18.848682380540648,-14.029976341650032,42.814309907276936,48000029.45202173,23.198961838863426,146.484375,16384,2400000.0,0.0
17,48333062.66548985,50733062.66548985,48573062.66548985,50493062.66548985,2026-07-09T22:54:33.834422+00:00,49533062.66548985,21.941145425926834,21.28783629506931,-18.802360651182497,40.65217114598879,50349713.05611485,18.711025720061954,146.484375,16384,2400000.0,0.0
18,49868879.082082964,52268879.082082964,50108879.082082964,52028879.082082964,2026-07-09T22:54:33.894255+00:00,51068879.082082964,24.18777293090249,23.60017879666254,-26.2437726585444,43.920060692806935,50804181.816457964,19.732287761904445,146.484375,16384,2400000.0,0.0
19,51404695.49867608,53804695.49867608,51644695.49867608,53564695.49867608,2026-07-09T22:54:33.953231+00:00,52604695.49867608,26.96853710602963,26.50838714224068,-20.36631591438448,46.70407131148963,53441560.73305108,19.73553420546,146.484375,16384,2400000.0,0.0
20,52940511.915269196,55340511.915269196,53180511.915269196,55100511.915269196,2026-07-09T22:54:34.015792+00:00,54140511.915269196,31.24160454213196,30.55355532221764,-18.779830740573964,47.65885742943787,53397103.712144196,16.417252887305914,146.484375,16384,2400000.0,0.0
21,54476328.331862316,56876328.331862316,54716328.331862316,56636328.331862316,2026-07-09T22:54:34.074913+00:00,55676328.331862316,30.926462510685642,30.376121313821006,-10.752607713286624,50.35221125875759,56567832.238112316,19.42574874807195,146.484375,16384,2400000.0,0.0
22,56012144.74845543,58412144.74845543,56252144.74845543,58172144.74845543,2026-07-09T22:54:34.133495+00:00,57212144.74845543,30.93207034390573,30.34734200177109,-10.919219371957386,71.5097053862613,57600035.37345543,40.577635042355574,146.484375,16384,2400000.0,0.0
23,57547961.16504854,59947961.16504854,57787961.16504854,59707961.16504854,2026-07-09T22:54:34.195193+00:00,58747961.16504854,31.650145750568562,30.882950211465374,-16.0348073120648,65.58402658181855,57599963.11817354,33.933880831249986,146.484375,16384,2400000.0,0.0
24,59083777.58164166,61483777.58164166,59323777.58164166,61243777.58164166,2026-07-09T22:54:34.254450+00:00,60283777.58164166,31.60743007631629,30.73554275306988,-11.653787724595386,51.81860224179629,59999744.37851666,20.21117216548,146.484375,16384,2400000.0,0.0
25,60619593.99823477,63019593.99823477,60859593.99823477,62779593.99823477,2026-07-09T22:54:34.314335+00:00,61819593.99823477,32.23163143673673,31.467843903961676,-8.838026525976847,53.41768494616849,62399965.09198477,21.186053509431765,146.484375,16384,2400000.0,0.0
26,62155410.41482789,64555410.41482789,62395410.41482789,64315410.41482789,2026-07-09T22:54:34.376093+00:00,63355410.41482789,32.55059613578217,31.793624084512437,-4.426514358497455,51.63604276753125,62400039.32107789,19.08544663174908,146.484375,16384,2400000.0,0.0
27,63691226.831421,66091226.831421,63931226.831421,65851226.831421,2026-07-09T22:54:34.435380+00:00,64891226.831421,31.615867280755026,30.821480790777315,-21.955268450178423,46.946659376710436,65453287.378296,15.33079209595541,146.484375,16384,2400000.0,0.0
28,65227043.24801412,67627043.24801412,65467043.24801412,67387043.24801412,2026-07-09T22:54:34.494094+00:00,66427043.24801412,31.348319402174504,30.621927661745666,-38.43106237712979,54.974629930092675,67200041.29488912,23.62631052791817,146.484375,16384,2400000.0,0.0
29,66762859.66460723,69162859.66460723,67002859.66460723,68922859.66460723,2026-07-09T22:54:34.552248+00:00,67962859.66460723,31.035756671617357,30.2206497729913,-6.469861097737908,55.2858416211876,67199969.03960723,24.250084949570244,146.484375,16384,2400000.0,0.0
30,68298676.08120036,70698676.08120036,68538676.08120036,70458676.08120036,2026-07-09T22:54:34.613517+00:00,69498676.08120036,30.051207889310767,29.252506642240142,-9.671665540495011,45.62539296259825,69149310.84682536,15.574185073287481,146.484375,16384,2400000.0,0.0
