Frequency,Service,System,Site,License,County,State
26.13,RP,Alabama Educational Television Commission,-,-,Jefferson,AL
26.47,RP,Alabama Educational Television Commission,-,-,Macon,AL
44.58,IG,BNSF Railway Co.,-,-,Jefferson,AL
46,HAM,Top Golf - HAM,-,-,Jefferson,AL
47.42,PW,American National Red Cross,-,-,Jefferson,AL
47.48,IG,Hardin Jr.,-,-,Jefferson,AL
48.62,IG,Hardin Jr.,-,-,Jefferson,AL
49.12,IG,Hardin Jr.,-,-,Jefferson,AL
49.48,IG,Hardin Jr.,-,-,Jefferson,AL
53.09,HAM,HAM - HAM,-,-,Jefferson,AL
53.11,HAM,HAM - HAM,-,-,Jefferson,AL
72.54,IG,Birmingham Terminal Railway,-,-,Jefferson,AL
72.58,IG,Birmingham Terminal Railway,-,-,Jefferson,AL
72.6,IG,Birmingham Terminal Railway,-,-,Jefferson,AL
75.58,IG,Birmingham Terminal Railway,-,-,Jefferson,AL
75.6,IG,Birmingham Terminal Railway,-,-,Jefferson,AL
88.1,FM,WSJL - FMRADIO,-,-,Jefferson,AL
88.5,FM,WLJR - FMRADIO,-,-,Jefferson,AL
88.9,FM,WMFT - FMRADIO,-,-,Jefferson,AL
89.5,FM,WBFR - FMRADIO,-,-,Jefferson,AL
89.7,FM,KRLE - FMRADIO,-,-,Jefferson,AL
89.9,FM,W210CA\A0(WJWA) - FMRADIO,-,-,Jefferson,AL
90.3,FM,WBHM - FMRADIO,-,-,Jefferson,AL
90.7,FM,WJJL - FMRADIO,-,-,Jefferson,AL
91.1,FM,WAJH - FMRADIO,-,-,Jefferson,AL
91.9,FM,WGIB - FMRADIO,-,-,Jefferson,AL
92.1,FM,WKUL - FMRADIO,-,-,Jefferson,AL
92.9,FM,WTUG - FMRADIO,-,-,Jefferson,AL
93.7,FM,WDJC - FMRADIO,-,-,Jefferson,AL
94.5,FM,WJOX - FMRADIO,-,-,Jefferson,AL
94.9,FM,W235BS\A0(WATV-AM) - FMRADIO,-,-,Jefferson,AL
95.1,FM,WSYP\A0(LPFM) - FMRADIO,-,-,Jefferson,AL
95.7,FM,WBHJ - FMRADIO,-,-,Jefferson,AL
96.1,FM,W241AI\A0(WMJJ-HD3) - FMRADIO,-,-,Jefferson,AL
96.5,FM,WMJJ - FMRADIO,-,-,Jefferson,AL
96.9,FM,WRSA - FMRADIO,-,-,Jefferson,AL
97.3,FM,WKVV - FMRADIO,-,-,Jefferson,AL
97.9,FM,W262AR\A0(WMMA-AM) - FMRADIO,-,-,Jefferson,AL
98.1,FM,WTXT - FMRADIO,-,-,Jefferson,AL
98.7,FM,WBHK - FMRADIO,-,-,Jefferson,AL
99.1,FM,W256CD\A0(WBHJ) - FMRADIO,-,-,Jefferson,AL
99.5,FM,WZRR - FMRADIO,-,-,Jefferson,AL
100.1,FM,W261BX\A0(WBPT-HD2) - FMRADIO,-,-,Jefferson,AL
100.5,FM,WJQX - FMRADIO,-,-,Jefferson,AL
101.1,FM,WXJC - FMRADIO,-,-,Jefferson,AL
102.1,FM,W271BN\A0(WZZK) - FMRADIO,-,-,Jefferson,AL
102.5,FM,WDXB - FMRADIO,-,-,Jefferson,AL
103.1,FM,W276BQ\A0(WMJJ-HD2) - FMRADIO,-,-,Jefferson,AL
103.7,FM,WQEN - FMRADIO,-,-,Jefferson,AL
104.1,FM,W281AB\A0(WJLD-AM) - FMRADIO,-,-,Jefferson,AL
